57,5,20,10,4,0,24.6
48,19,87,2,0,0,55.3
89,31,62,4,7,1,64.2
20,58,85,9,7,1,80.3
59,44,58,4,10,1,68.7
59,82,86,7,2,1,95.5
18,56,55,7,5,1,64.5
50,6,9,1,2,0,16.5
42,71,58,1,1,1,72.3
17,43,92,1,10,1,77
1,81,22,6,1,0,57.3
22,15,78,5,4,0,49.9
84,86,23,6,2,1,74.2
63,100,84,1,0,1,102.3
58,99,26,10,10,1,86.9
51,5,40,0,7,0,34.6
68,63,82,5,5,1,86.2
86,48,30,10,6,0,59.7
88,75,61,4,1,1,82.9
30,63,46,5,10,1,70.8
0,16,40,3,1,0,27.6
43,99,89,7,7,1,109
98,87,45,3,0,1,83.7
91,15,50,0,7,0,50.3
9,19,52,1,2,0,37
14,54,34,6,1,0,49.2
45,18,59,9,0,0,43.7
99,77,0,3,4,1,63
93,35,97,1,1,1,76.2
38,51,90,0,6,1,79.3
96,77,63,7,7,1,93
33,18,43,2,9,0,42.5
22,29,16,8,1,0,28.8
8,39,37,6,5,0,45.3
7,68,11,1,6,0,50.8
83,69,21,7,2,1,63.3
42,50,95,0,8,1,82.9
77,15,58,6,7,0,52.3
62,50,90,1,4,1,80.4
46,15,46,6,1,0,36.4
67,53,0,10,6,0,47.3
71,64,94,7,6,1,93.5
87,46,96,6,6,1,86.4
40,55,84,4,6,1,79.5
40,75,39,2,0,1,65.6
90,80,42,0,5,1,81.1
60,15,49,2,7,0,45.2
61,7,24,10,2,0,26.3
78,61,2,5,1,0,48.6
6,0,63,2,2,0,29.8
16,57,21,1,9,0,52.8
90,72,16,5,0,1,61.5
92,83,60,1,5,1,91.5
82,63,28,10,6,1,66.8
74,2,18,6,10,0,29.9
27,83,22,6,7,1,68.5
66,45,10,1,3,0,42.1
63,68,31,5,7,1,69.3
15,22,73,8,3,0,50.2
34,59,85,0,2,1,76.5
5,40,22,10,1,0,35.5
90,69,18,3,2,1,62.6
100,24,40,3,10,0,55.8
2,16,48,2,6,0,36.2
9,41,71,2,0,0,55.8
60,87,21,7,6,1,74.5
22,81,46,0,1,1,69.7
26,47,17,8,9,0,47.9
6,54,67,1,2,1,62.3
30,37,17,3,4,0,37.1
51,14,83,0,0,0,50.8
82,74,27,3,5,1,70.9
36,11,81,1,4,0,50.1
37,57,7,4,7,0,48.2
8,86,93,7,0,1,91.2
1,15,66,2,4,0,41
32,73,65,10,9,1,85
52,79,33,8,0,1,67.6
65,88,11,7,7,1,72.7
80,99,27,4,5,1,84.8
54,8,16,8,3,0,23.1
39,94,41,4,1,1,78
43,4,31,6,3,0,25.7
38,97,35,9,3,1,80.4
84,77,57,7,2,1,83.9
75,96,62,10,5,1,98.7
51,64,94,9,7,1,92.8
59,50,55,10,9,1,70.9
95,23,72,4,3,1,61.6
7,80,9,0,5,0,55.3
87,7,30,6,4,0,33.7
18,7,67,0,1,0,36.7
94,13,36,9,0,0,37.5
49,77,19,7,0,1,60.1
29,4,32,7,6,0,27.1
