,img_name,attractiveness
0,EXPV_512_105.jpg,3
1,EXPV_512_115.jpg,3
2,EXPV_512_125.jpg,3
3,EXPV_512_135.jpg,3
4,EXPV_512_145.jpg,3
5,EXPV_512_15.jpg,3
6,EXPV_512_155.jpg,3
7,EXPV_512_165.jpg,3
8,EXPV_512_175.jpg,3
9,EXPV_512_185.jpg,3
10,EXPV_512_195.jpg,3
11,EXPV_512_205.jpg,3
12,EXPV_512_215.jpg,3
13,EXPV_512_225.jpg,3
14,EXPV_512_235.jpg,3
15,EXPV_512_245.jpg,3
16,EXPV_512_25.jpg,3
17,EXPV_512_255.jpg,3
18,EXPV_512_265.jpg,3
19,EXPV_512_275.jpg,3
20,EXPV_512_285.jpg,3
21,EXPV_512_295.jpg,3
22,EXPV_512_305.jpg,3
23,EXPV_512_315.jpg,3
24,EXPV_512_325.jpg,3
25,EXPV_512_335.jpg,3
26,EXPV_512_345.jpg,3
27,EXPV_512_35.jpg,3
28,EXPV_512_355.jpg,3
29,EXPV_512_45.jpg,3
30,EXPV_512_5.jpg,3
31,EXPV_512_55.jpg,3
32,EXPV_512_65.jpg,3
33,EXPV_512_75.jpg,3
34,EXPV_512_85.jpg,3
35,EXPV_512_95.jpg,3
36,EXPV_514_103.jpg,3
37,EXPV_514_113.jpg,3
38,EXPV_514_123.jpg,3
39,EXPV_514_13.jpg,3
40,EXPV_514_133.jpg,3
41,EXPV_514_143.jpg,4
42,EXPV_514_153.jpg,4
43,EXPV_514_163.jpg,4
44,EXPV_514_173.jpg,4
45,EXPV_514_183.jpg,4
46,EXPV_514_193.jpg,4
47,EXPV_514_203.jpg,4
48,EXPV_514_213.jpg,3
49,EXPV_514_223.jpg,3
50,EXPV_514_23.jpg,3
51,EXPV_514_233.jpg,3
52,EXPV_514_243.jpg,3
53,EXPV_514_253.jpg,3
54,EXPV_514_263.jpg,3
55,EXPV_514_273.jpg,3
56,EXPV_514_283.jpg,3
57,EXPV_514_293.jpg,3
58,EXPV_514_3.jpg,4
59,EXPV_514_303.jpg,4
60,EXPV_514_313.jpg,4
61,EXPV_514_323.jpg,4
62,EXPV_514_33.jpg,3
63,EXPV_514_333.jpg,4
64,EXPV_514_343.jpg,4
65,EXPV_514_353.jpg,4
66,EXPV_514_43.jpg,3
67,EXPV_514_53.jpg,2
68,EXPV_514_63.jpg,2
69,EXPV_514_73.jpg,2
70,EXPV_514_83.jpg,2
71,EXPV_514_93.jpg,2
72,EXPV_515_107.jpg,2
73,EXPV_515_117.jpg,2
74,EXPV_515_127.jpg,2
75,EXPV_515_137.jpg,2
76,EXPV_515_147.jpg,2
77,EXPV_515_157.jpg,2
78,EXPV_515_167.jpg,2
79,EXPV_515_17.jpg,2
80,EXPV_515_177.jpg,2
81,EXPV_515_187.jpg,2
82,EXPV_515_197.jpg,3
83,EXPV_515_207.jpg,3
84,EXPV_515_217.jpg,3
85,EXPV_515_227.jpg,3
86,EXPV_515_237.jpg,3
87,EXPV_515_247.jpg,3
88,EXPV_515_257.jpg,3
89,EXPV_515_267.jpg,2
90,EXPV_515_27.jpg,2
91,EXPV_515_277.jpg,2
92,EXPV_515_287.jpg,2
93,EXPV_515_297.jpg,2
94,EXPV_515_307.jpg,1
95,EXPV_515_317.jpg,1
96,EXPV_515_327.jpg,1
97,EXPV_515_337.jpg,1
98,EXPV_515_347.jpg,1
99,EXPV_515_357.jpg,2
100,EXPV_515_37.jpg,3
101,EXPV_515_47.jpg,3
102,EXPV_515_57.jpg,3
103,EXPV_515_67.jpg,3
104,EXPV_515_7.jpg,2
105,EXPV_515_77.jpg,3
106,EXPV_515_87.jpg,3
107,EXPV_515_97.jpg,3
108,EXPV_516_102.jpg,3
109,EXPV_516_112.jpg,3
110,EXPV_516_12.jpg,3
111,EXPV_516_122.jpg,3
112,EXPV_516_132.jpg,3
113,EXPV_516_142.jpg,3
